Supplier,Supplier_SKU,Name,Brand,Barcode,Cost_Price,RRP,Stock,Category
uhp,AO30,Magnesium Daily Gel Pure Magnesium Gel Roll-On,Amazing Oils,9354150000450,11.34,19.95,,"Cyber Sale, Natural Remedies"
uhp,AO31,Magnesium Daily Spray Pure Magnesium Oil,Amazing Oils,9354150000511,14.18,24.95,,"Christmas, Cyber Sale, Mega Sale, Natural Remedies"
uhp,AO32,Magnesium Daily Spray Pure Magnesium Oil,Amazing Oils,9354150000535,17.02,29.95,,"Cyber Sale, Mega Sale, Natural Remedies"
uhp,AO33,Magnesium Daily Spray Refill Pure Magnesium Oil,Amazing Oils,9354150000559,56.79,99.95,,"Cyber Sale, Mega Sale, Natural Remedies"
uhp,AO35,Magnesium Daily Bath Flakes Pure Magnesium Chloride,Amazing Oils,9354150000597,22.7,39.95,,"Body & Beauty, Cyber Sale, Mega Sale, Natural Remedies"
uhp,AO36,Magnesium Daily Bath Flakes Pure Magnesium Chloride,Amazing Oils,9354150000795,51.11,89.95,,"Body & Beauty, Cyber Sale, Mega Sale, Natural Remedies"
uhp,AO41,Magnesium Sensitive Spray,Amazing Oils,9354150000658,21.56,37.95,,"Cyber Sale, Mega Sale, Natural Remedies"
uhp,VR130,Tongue Cleaner Stainless Steel,Vrindavan,746092297910,4.52,7.95,,"Body & Beauty, Cyber Sale"
uhp,AO42,Epsom Salts Detox Bath Soak Pure Magnesium Sulphate,Amazing Oils,9354150000825,8.49,14.95,,"Body & Beauty, Cyber Sale, Mega Sale, Natural Remedies"
uhp,AO43,Epsom Salts Detox Bath Soak Pure Magnesium Sulphate,Amazing Oils,9354150000887,17.02,29.95,,"Body & Beauty, Christmas, Cyber Sale, Mega Sale, Natural Remedies"
uhp,AO60,Magnesium Sleep Lotion with Lavender & Chamomile,Amazing Oils,9354150000672,19.86,34.95,,"Cyber Sale, Mega Sale, Mother's Day, Natural Remedies"
oborne,SV3THSRO,SATIVA ORG HEMP SERUM REJUVENATE 30ML TESTER,SATIVA,,,,,
oborne,KFEGHFB,KFIBRE ESSENTIAL GUT HEALTH FIBRE BERRY TUB 103.4G,KFIBRE (SUNRISE HEALTH),09359031000208,20.15,32.27,42,
oborne,KFEGHFBPK,KFIBRE ESSENTIAL GUT HEALTH FIBRE BERRY SACH 1.5G X 14 PK,KFIBRE (SUNRISE HEALTH),09359031000154,8.48,13.59,7,
oborne,CHXAS,CHANDRIKA AYURVEDIC SOAP 75G ,S.V. Products,08901370000015,1.14,1.68,4177,
oborne,TTENBTOTB,TEA TONIC ORGANIC ENERGY BOOST TEA X 20 TEA BAGS,TEA TONIC,09330174004452,7.77,12.5,9,
oborne,TT2CJAT,TEA TONIC DISPLAY CONE JAR ** OBSOLETE MANUFACTURER **,TEA TONIC,,22,32.27,,
oborne,TT2CJCHAIT,TEA TONIC DISPLAY CONE JAR ** OBSOLETE MANUFACTURER **,TEA TONIC,,22,32.27,,
oborne,TTLONTOLL,TEA TONIC ORGANIC LONGEVITY **OBSOLETE MANUFACTURER**,TEA TONIC,,38.73,74.15,,
oborne,TTPBTCT,TEA TONIC PERSIAN BREAKFAST TEA CADDY TIN 150G,TEA TONIC,09330174004384,20.37,34.65,1,
oborne,TTHSOTB,TEA TONIC ORGANIC HERBAL SELECTION X 30 TEA BAGS,TEA TONIC,09330174005008,14.34,23.1,17,
oborne,TESHI,TEELIXIR SHILAJIT 30G ,TEELIXIR,00724022611005,32.69,52.73,,
uhp,AO63,Magnesium Sleep Bath Flakes with Lavender & Chamomile,Amazing Oils,9354150000771,28.38,49.95,,"Body & Beauty, Cyber Sale, Mega Sale, Natural Remedies"
uhp,AO81,Magnesium Wellness Drink Nightly Cacao & Chai,Amazing Oils,9354150000818,22.69,39.95,,"Cyber Sale, Mega Sale, Mother's Day, Natural Remedies"
uhp,AOCD,Counter Display - Stock not included,Amazing Oils,,,,,
uhp,AP01,Organic Aloe Vera Gel,Aloe Pura,5029354000868,7.93,13.95,,"Body & Beauty, Mega Sale"
uhp,AP03,Aloe Vera Lotion with Shea Butter,Aloe Pura,5029354002657,11.33,19.95,,"Body & Beauty, Mega Sale"
uhp,AP04,Aloe Vera Lotion After Sun,Aloe Pura,5029354002695,11.33,19.95,,"Body & Beauty, Mega Sale"
uhp,AQ01,Apricot Kernels Raw,Apricare,680569567277,39.74,69.95,,Body & Beauty
uhp,VR131,Tongue Cleaner Copper,Vrindavan,746092298207,5.65,9.95,,"Body & Beauty, Cyber Sale"
uhp,AQ07,Apricot Kernels Raw,Apricare,661799763448,25.54,44.95,,Body & Beauty
uhp,AQ21,Apricot Kernels Organic Raw,Apricare,661799763400,33.49,58.95,,Body & Beauty
uhp,AR112,Brightening Cleansing Gel,ACURE,854049002057,12.47,21.95,,"Body & Beauty, Christmas, Cyber Sale, Mega Sale, Mother's Day"
